
TEST CASES
case	Адрес	Стоимость заказа	Высота заказа	Длина заказа	Ширина заказа	Вес заказа	pairings
1	город из РФ на латинице (Novosibirsk)	0	0	0	0	0	15
2	город из РФ на кириллице (Новосибирск)	0,01	0,1	0,1	0	0,001	15
3	город не из РФ на латинице (Minsk)	10000	30	20	0	7,5	15
4	город не из РФ на кириллице (Минск)	19999,99	59,9	39,9	0	14,999	15
5	Верхний регистр, любой алфавит (МОСКВА)	20000	60	40	0	15	15
6	Нижний регистр, любой алфавит (almaty)	20000,01	60,1	40,1	0	15,001	15
7	Название города через один дефис, любой алфавит (Санкт-Петербург)	5000	15	10	0	5	15
8	Название города через два дефиса, любой алфавит (Комсомольск-на-Амуре)	9999,99	29,9	19,9	0	9,999	15
9	Верхний регистр, любой алфавит (МОСКВА)	0,01	30	39,9	0,1	0	15
10	Нижний регистр, любой алфавит (almaty)	0	59,9	20	0,1	0,001	15
11	Название города через один дефис, любой алфавит (Санкт-Петербург)	19999,99	0	0,1	0,1	7,5	15
12	Название города через два дефиса, любой алфавит (Комсомольск-на-Амуре)	10000	0,1	0	0,1	14,999	15
13	город из РФ на латинице (Novosibirsk)	20000,01	15	19,9	0,1	15	15
14	город из РФ на кириллице (Новосибирск)	20000	29,9	10	0,1	15,001	15
15	город не из РФ на латинице (Minsk)	9999,99	60	40,1	0,1	5	15
16	город не из РФ на кириллице (Минск)	5000	60,1	40	0,1	9,999	15
17	город из РФ на латинице (Novosibirsk)	10000	59,9	0,1	20	0	14
18	город из РФ на кириллице (Новосибирск)	19999,99	30	0	20	0,001	14
19	город не из РФ на латинице (Minsk)	0	0,1	39,9	20	7,5	14
20	город не из РФ на кириллице (Минск)	0,01	0	20	20	14,999	14
21	Верхний регистр, любой алфавит (МОСКВА)	5000	29,9	40,1	20	15	14
22	Нижний регистр, любой алфавит (almaty)	9999,99	15	40	20	15,001	14
23	Название города через один дефис, любой алфавит (Санкт-Петербург)	20000	60,1	19,9	20	5	14
24	Название города через два дефиса, любой алфавит (Комсомольск-на-Амуре)	20000,01	60	10	20	9,999	14
25	Верхний регистр, любой алфавит (МОСКВА)	19999,99	0,1	20	39,9	0	14
26	Нижний регистр, любой алфавит (almaty)	10000	0	39,9	39,9	0,001	14
27	Название города через один дефис, любой алфавит (Санкт-Петербург)	0,01	59,9	0	39,9	7,5	14
28	Название города через два дефиса, любой алфавит (Комсомольск-на-Амуре)	0	30	0,1	39,9	14,999	14
29	город из РФ на латинице (Novosibirsk)	9999,99	60,1	10	39,9	15	14
30	город из РФ на кириллице (Новосибирск)	5000	60	19,9	39,9	15,001	14
31	город не из РФ на латинице (Minsk)	20000,01	29,9	40	39,9	5	14
32	город не из РФ на кириллице (Минск)	20000	15	40,1	39,9	9,999	14
33	город не из РФ на латинице (Minsk)	20000	30,1	20,1	40	0	15
34	город не из РФ на кириллице (Минск)	20000,01	45	30	40	0,001	15
35	город из РФ на латинице (Novosibirsk)	5000	Не заполнено	Не заполнено	40	7,5	15
36	город из РФ на кириллице (Новосибирск)	9999,99	0	40	40	14,999	13
37	Название города через один дефис, любой алфавит (Санкт-Петербург)	0	0,1	40,1	40	15	13
38	Нижний регистр, любой алфавит (almaty)	0,01	30	10	40	15,001	12
39	Верхний регистр, любой алфавит (МОСКВА)	10000	59,9	19,9	40	5	13
40	Нижний регистр, любой алфавит (almaty)	19999,99	60	0	40	9,999	12
41	город не из РФ на латинице (Minsk)	10000,01	60,1	0,1	40	10	14
42	Название города через два дефиса, любой алфавит (Комсомольск-на-Амуре)	15000	15	20	40	10,001	15
43	город из РФ на кириллице (Новосибирск)	20000,01	Не заполнено	0	40,1	0	13
